"YEAR","Seas","Flt","Gender","Part","Ageerr","Lbin_lo","Lbin_hi","NUMTOWS","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"1973","2","FIXEDGOFM","0","0","1","11","11","95","18","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1978","2","FIXEDGOFM","0","0","1","11","11","217","63","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1966","1","FIXEDGOFM","0","0","1","11","11","61","0","120","9","0","0","0","0","0","0","0","0","0","0","0","0"
"1977","1","FIXEDGOFM","0","0","1","11","11","52","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1976","1","FIXEDGOFM","0","0","1","11","11","65","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1981","1","FIXEDGOFM","0","0","1","11","11","46","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1974","1","FIXEDGOFM","0","0","1","11","11","17","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1964","1","FIXEDGOFM","0","0","1","11","11","74","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1983","1","FIXEDGOFM","0","0","1","11","11","19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1984","1","FIXEDGOFM","0","0","1","11","11","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1969","1","FIXEDGOFM","0","0","1","11","11","87","0","94","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1970","1","FIXEDGOFM","0","0","1","11","11","45","0","109","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1985","1","FIXEDGOFM","0","0","1","11","11","19","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1986","1","FIXEDGOFM","0","0","1","11","11","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1975","1","FIXEDGOFM","0","0","1","11","11","32","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1965","1","FIXEDGOFM","0","0","1","11","11","110","0","369","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1991","1","FIXEDGOFM","0","0","1","11","11","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1990","1","FIXEDGOFM","0","0","1","11","11","7","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1989","1","FIXEDGOFM","0","0","1","11","11","9","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1967","1","FIXEDGOFM","0","0","1","11","11","35","0","91","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1987","1","FIXEDGOFM","0","0","1","11","11","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1971","1","FIXEDGOFM","0","0","1","11","11","20","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1972","1","FIXEDGOFM","0","0","1","11","11","27","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
